Date,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Rosenstiel,Daily Obs Count,Percent Complete,AQS Parameter Description,County FIPS Code,Site Latitude,Site Longitude,Date.1,Daily Max 8-hour Ozone Concentration.1,Units.1,Daily AQI Value.1,Rosenstiel.1,Daily Obs Count.1,Percent Complete.1,AQS Parameter Description.1,County FIPS Code.1,Site Latitude.1,Site Longitude.1
9/1/2017,0.029,ppm,27,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,10/27/2017,0.045,ppm,42,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/2/2017,0.03,ppm,28,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,10/28/2017,0.031,ppm,29,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/3/2017,0.024,ppm,22,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,10/29/2017,0.037,ppm,34,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/4/2017,0.025,ppm,23,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,10/30/2017,0.038,ppm,35,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/5/2017,0.026,ppm,24,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,10/31/2017,0.043,ppm,40,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/6/2017,,,,,,,,,,,,,,,,,,,,,
9/7/2017,,,,,,,,,,,,,,,,,,,,,
9/8/2017,,,,,,,,,,,,,,,,,,,,,
9/9/2017,,,,,,,,,,,,,,,,,,,,,
9/10/2017,,,,,,,,,,,,,,,,,,,,,
9/11/2017,,,,,,,,,,,,,,,,,,,,,
9/12/2017,,,,,,,,,,,,,,,,,,,,,
9/13/2017,,,,,,,,,,,,,,,,,,,,,
9/14/2017,,,,,,,,,,,,,,,,,,,,,
9/15/2017,,,,,,,,,,,,,,,,,,,,,
9/16/2017,,,,,,,,,,,,,,,,,,,,,
9/17/2017,,,,,,,,,,,,,,,,,,,,,
9/18/2017,,,,,,,,,,,,,,,,,,,,,
9/19/2017,0.045,ppm,42,Rosenstiel,14,82,Ozone,86,25.73287798,-80.16175011,11/1/2017,0.039,ppm,36,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/20/2017,0.043,ppm,40,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/2/2017,0.035,ppm,32,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/21/2017,0.03,ppm,28,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/3/2017,0.037,ppm,34,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/22/2017,0.012,ppm,11,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/4/2017,0.032,ppm,30,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/23/2017,0.02,ppm,19,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/5/2017,0.035,ppm,32,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/24/2017,0.025,ppm,23,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/6/2017,0.033,ppm,31,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/25/2017,0.038,ppm,35,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/7/2017,0.031,ppm,29,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/26/2017,0.028,ppm,26,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/8/2017,0.026,ppm,24,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/27/2017,0.024,ppm,22,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/9/2017,0.025,ppm,23,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/28/2017,0.029,ppm,27,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/10/2017,0.032,ppm,30,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/29/2017,0.02,ppm,19,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/11/2017,0.036,ppm,33,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
9/30/2017,0.015,ppm,14,Rosenstiel,17,100,Ozone,86,25.73287798,-80.16175011,11/12/2017,0.031,ppm,29,Perdue,17,100,Ozone,86,25.58732749,-80.32592188
